StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
MAHARASHTRA,PARBHANI,PURNA,,HORTICULTURE,Vegetables,Tomato,	Plant Protection	,ASKED ABOUT FERTILIZER SPRAY FOR TOMATO?,Tomato puree 150 grams + mayonnaise 30 ml + Bavistin 30 grams / 12 liters of water should be mixed well.,2022-06-07T10:50:27.53,2022,6
MAHARASHTRA,JALNA,BHOKARDAN,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Humid weather, cloudy skies, and the possibility of heavy rain with thunder has been predicted in some areas today. Minimum temperature 26°C, maximum 41°C.",2022-06-06T12:38:33.117,2022,6
MAHARASHTRA,JALGAON,BHADGAON,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Heavy rain is expected in the next 5 days in the state, and there is a possibility of lightning. Minimum temperature - 42 degrees Celsius and maximum - 27 degrees Celsius, wind speed - up to 17 kilometers per hour. Due to heavy rainfall, take precautions, stay in safe places, avoid going near electric poles, and follow the instructions given by the administration.",2022-06-06T12:39:07.887,2022,6
MAHARASHTRA,AMRAVATI,DHAMANGAON RIL,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Havaman Vibhagachya Mahitinu Saar Apalya Talukyatil Havaman Andaj: Yetya 5 divasat vatavarn thagal raahil va pavsachi shakyat raahil. Tapman - kimaana 24 ansh Celsius aani kamal 39 ansh Celsius. Varyacha veg 12 kimi/taasi. Havaman Andajanusar perani, khat vyavasthapan, pik sanrakshan, pik kadhi sinchan aadi babinche niyojan karave. Dhanyavaad!",2022-06-06T12:40:17.913,2022,6
MAHARASHTRA,CHANDRAPUR,WARORA,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Taluka Havaman Andaj - Here is the probable weather forecast for today: partly cloudy sky is likely in most parts, temperature - minimum - 34°C to maximum - 44°C, wind speed - 11 kilometers/hour, to know the weather forecast for your area, give the name of the village, city, district, or state, and get the weather information of your area immediately.",2022-06-06T12:42:37.83,2022,6
MAHARASHTRA,YEVATMAL,PUSAD,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Current weather forecast -- According to this latest update, the sky will remain partly cloudy, there is no possibility of rain, temperature - minimum - 24°C and maximum - 40°C, humidity - 25%, wind speed - 11 kilometers/hour, do not stay in open areas during the current weather, wear a cap, keep a wet cloth on your head, use sunglasses, and drink enough water to avoid dehydration.",2022-06-06T12:42:57.14,2022,6
MAHARASHTRA,BEED,MAJALGAON,,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),Fertilizer Use and Availability,sugarcane fertilizer dose ?,Us Khat Dose -- DAP two bags + Urea one bag + Potash one bag per acre should be given.,2022-06-06T12:45:53.387,2022,6
MAHARASHTRA,WASHIM,MALEGAON,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Malaga weather forecast - According to this latest update, there will be partly cloudy skies, light winds, temperature - minimum 23°C, maximum 33°C, humidity will be around 18 kilometers/hour, weather forecast information is given for your reference, but before going out, check the latest updates on the website, newspaper, or other reliable sources.",2022-06-06T12:51:04.727,2022,6
MAHARASHTRA,WARDHA,KARANJA,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Karjat Taluka Weather Information -- According to this latest update, the sky will be partly cloudy, no chance of rain, temperature - minimum - 24°C, maximum - 40°C, humidity - 25%, wind speed - 11 kilometers/hour, for weather information contact the following: Pani Dene, Perani, Khat Matra, Peak Protection, and other agricultural advice, contact the local agriculture office.",2022-06-06T12:52:11.26,2022,6
MAHARASHTRA,YEVATMAL,WANI,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Vani Bazar Taluka Havaman Andaj Yetya Athavadyamadhye Vatavaran Thanda Aahe Ani Halka Te Madhyam Pavsachi Shakyata Aahe, Aajche Tapman Jastit Jast - 23 Angshe Celsius, Kamiit Kami - 13 Angshe Celsius, Varyacha Veg - 12 Kilometer Prati Tas Aahe.",2022-06-06T12:57:21.74,2022,6
MAHARASHTRA,YEVATMAL,WANI,,AGRICULTURE,Others,Others,Market Information,Farmer asked query on Mandi details,,2022-06-06T12:57:26.89,2022,6
MAHARASHTRA,AHMADNAGAR,SANGAMNER,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Due to the cyclone warning, you are advised not to go to the seashore or any low-lying areas. Today’s temperature – minimum 42 degrees Celsius and maximum 29 degrees Celsius, wind speed – up to 25 kilometers per hour. Due to the cyclone warning, please take care, stay safe, keep children and elderly people at home, and follow the instructions given by the authorities.",2022-06-06T13:04:52.23,2022,6
MAHARASHTRA,BEED,WADWANI,,AGRICULTURE,Others,Others,Soil Testing,"farmer asked about Krishi Vigyan Kendra, Ambajogai contact number ","Krishi Vijnan Kendra, Ambajogai contact number 02446 258 557",2022-06-06T13:09:37.16,2022,6
MAHARASHTRA,NANDED,KINWAT,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Taluka Havaman Andaj - Yetya Athavadyat Vatawaran Thagal Rahil, Pavsachi Shakyata Nahi. Jastit Jast Tapman 44°C, Kimit Kimi Tapman 30°C Rahil, Hawaycha Veg 19 Kimi/taas.",2022-06-06T13:14:29.25,2022,6
MAHARASHTRA,WASHIM,KARANJA,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Karanja weather forecast: Today, partly cloudy weather is expected in the district and surrounding areas. Maximum = about 31°C, minimum about 23°C. Humidity = about 84%, minimum 70%. Wind speed will be 11 km/h from the east direction.",2022-06-06T13:25:24.36,2022,6
MAHARASHTRA,NANDED,MOKHED,,AGRICULTURE,Oilseeds,Soybean (bhat),Varieties,"SEED TREATMENT TO SOYABEAN  ?
","Soyabin - For 1 acre, 2 grams Thayaram Nantar Rayzobium 22 grams + Sphurad Virghalana Jeevanuk Samvardhak 22 grams + 150 grams jaggery + 1 liter water, mix all these together and coat the seeds before sowing.",2022-06-06T13:39:56.793,2022,6
MAHARASHTRA,AKOLA,BARSHITAKLI,,AGRICULTURE,Oilseeds,Soybean (bhat),Market Information,Farmer asked price detail of Soyabean in Washim mandi.,"04/06/2022
Market: Washim
Commodity: Soybean
(Modal Price): 7000/Quintal",2022-06-06T13:42:57.783,2022,6
MAHARASHTRA,AHMADNAGAR,JAMKHED,,AGRICULTURE,Others,Others,Government Schemes,"FARMER ASKING ABOUT PM KISAN YOJNA ?
",PM Kisan Yojana is an important initiative of the central government.,2022-06-06T13:43:44.537,2022,6
MAHARASHTRA,AHMADNAGAR,NEVASA,,AGRICULTURE,Fiber Crops,Cotton (Kapas),Varieties,"FARMER ASKED ABOUT VARIETIES OF COTTON ?
",Kapus - Jati - Do Brent Bahubali Ajit - 122 EMRC – 7341 Brahma Malkia Bhakti Ankur 06 Jackpot Chanakya Mauli,2022-06-06T13:50:38.757,2022,6
MAHARASHTRA,AURANGABAD,SILLOD,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Heavy rainfall warning, you may experience continuous rain for the next 5 days, there is a possibility of flooding. The minimum temperature will be 42 degrees Celsius and the maximum temperature will be 27 degrees Celsius, wind speed will be around 17 kilometers per hour. Due to heavy rainfall warning, take care, stay safe, keep necessary items, and follow the instructions given by the administration.",2022-06-07T11:01:58.77,2022,6
MAHARASHTRA,AHMADNAGAR,SHRIRAMPUR,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Ahmadnagar district Shrirampur taluka weather forecast - Here is the latest weather update for the next few hours in your area:

Maximum temperature = 38 (°C)
Minimum temperature = 23 (°C)
Maximum humidity = 55%
Minimum humidity = 17%
Wind speed = 20 km/h",2022-06-07T11:07:07.64,2022,6
MAHARASHTRA,YEVATMAL,DIGRAS,,AGRICULTURE,Fiber Crops,Cotton (Kapas),Varieties,"VARIETIES OF COTTON ?
",-Kapus -Jati -Do Brent Bahubali Ajit - 133 MRC – 73,2022-06-07T11:08:51.397,2022,6
MAHARASHTRA,WASHIM,MALEGAON,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"The final result of the HSC examination will be announced on the official website within 10 days after the completion of the HSC examination. The answer sheets will be checked in a strict and transparent manner, so students are requested not to believe in any rumors. The minimum passing marks are 35 out of 100 in each subject. The highest marks are 40 out of 100 in each subject. The result will be declared on 22nd May at 1:00 PM. The HSC result can be checked online by entering the seat number on the official website, and students are advised to take a printout of the result for future reference. Thank you.",2022-06-07T11:12:17.893,2022,6
MAHARASHTRA,HINGOLI,SENGAON,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Sangli district weather forecast - Today, due to the presence of a low-pressure area over the Arabian Sea, there is a possibility of light to moderate rain in some places in the district. Temperature - Minimum - 22°C, Maximum - 35°C, wind speed 23 km/h. / Direction (The direction of the wind may change due to local weather conditions.) Thank you.",2022-06-07T11:12:29.767,2022,6
MAHARASHTRA,PARBHANI,MANWAT,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Manwat taluka weather forecast - According to the latest available information, the weather is likely to remain partly cloudy, with a chance of light rain in some places today. Today's temperature - minimum - 33°C and maximum - 40°C, wind speed - 14 kilometers/hour, weather forecast for the next few days: rain, thunder, hail, dust storms, strong winds, and lightning are likely in some places.",2022-06-07T11:15:03.693,2022,6
MAHARASHTRA,PARBHANI,MANWAT,,AGRICULTURE,Oilseeds,Soybean (bhat),Fertilizer Use and Availability,"Fertilizer dose for soybean ?
",Soyabean field - spraying time 18:20:06- 40 kilos + 20 kilos Muriate of Potash + Sulphur 10 kilos / apply once.,2022-06-07T11:20:43.87,2022,6
MAHARASHTRA,BEED,WADWANI,,AGRICULTURE,Others,Others,Market Information,Farmer asked price detail of Cotton in Jamner mandi,"02/02/2028 - Kapus Bajarbhav - Jamner Market - Minimum Price - 6000 Rs/Quintal, Maximum Price - 8000 Rs/Quintal, Average Price - 7300 Rs/Quintal. Thank you.",2022-06-07T11:22:41.573,2022,6
MAHARASHTRA,BULDANA,NANDURA,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Taluka Hiwara Andaj - Yetya athavadyat dhagaḷ vaatavarṇ raahil, halkya - madhyam paavasachi shakyatā aahe.

Taapmaan (Ansh Celsius) - Jastit jast - 42, aṇi kamiit kami - 35.

Vāṭyāchā veg (kimi/taas) - 18, dhanyavaad.",2022-06-07T11:26:13.41,2022,6
MAHARASHTRA,SOLAPUR,MALSHIRAS,,HORTICULTURE,Vegetables,Brinjal,Seeds and Planting Material,ASKED ABOUT PLANTING DISTANCE OF BRINJAL CROP ? ,"Pikache nav-vaangi (May-June and August-September and December-January)
Lagvadiche antar (cm)- 45*20 or 45*45 or 60*45
Sudharit jati-, Ruchira, Pusa Kranti,
Hirvi phale - Phule Harit, Phule Arjun
Jambhala - Manjari Gota, Krishna, Pusa Purple Round",2022-06-07T11:29:47.363,2022,6
MAHARASHTRA,BULDANA,SHEGAON,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Heavy rainfall warning, your area is likely to receive heavy to very heavy rainfall for the next 5 days, accordingly, be alert. Today's temperature - minimum - 23 degrees Celsius and maximum - 30 degrees Celsius, wind speed - up to 22 kilometers per hour. Due to heavy rainfall warning, take necessary precautions, stay at home as much as possible, avoid unnecessary travel, and keep listening to information from the administration.",2022-06-07T11:30:36.63,2022,6
MAHARASHTRA,BULDANA,MALKAPUR,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Malakapur Taluka Weather Forecast - Today, due to the influence of a low-pressure area, there is a possibility of light to moderate rain in some places in the district. Temperature - Minimum - 22°C, Maximum - 35°C, Wind speed 23 km/h. / Rainfall. (There is a possibility of heavy rainfall in some places in the district due to the effect of the monsoon.) Thank you.",2022-06-07T11:42:08.077,2022,6
MAHARASHTRA,NAGPUR,NAGPUR,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Humid weather, mostly cloudy skies, occasional light to moderate rain showers are likely in most parts of the state. Maximum temperature around 32°C, minimum around 22°C. The relative humidity will be 81 percent in the morning.",2022-06-07T11:43:30.49,2022,6
MAHARASHTRA,BEED,PATODA,,AGRICULTURE,Others,Others,Market Information,Farmer asked price detail of Onion in Pune mandi.,"05/06/2022
Market: Pune
Commodity: Onion
(Modal Price): 1000/Quintal",2022-06-05T15:25:48.727,2022,6
MAHARASHTRA,AHMADNAGAR,AKOLE,,AGRICULTURE,Others,Others,Market Information,Farmer asked price detail of Onion in Lasalgaon mandi.,"04/06/2022  
Sugarcane procurement price - Lasalgaon Market - Quantity less - 561 Rs/quintal, Maximum price sold - 1418 Rs/quintal, Average price - 1130 Rs/quintal. Thank you.",2022-06-06T09:55:09.543,2022,6
MAHARASHTRA,NANDED,KINWAT,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"According to the latest information, today the temperature in many parts of the state has dropped significantly. In some parts of Vidarbha, the minimum temperature has dropped to the lowest level of the season. Currently, the minimum temperature in Rahil of Dhule district has dropped to the lowest level of the season. Today, the minimum temperature in Rahil is between 25 degrees Celsius and 35 degrees Celsius, and in some places, it may drop even further. In some places, the temperature may drop to 3 degrees Celsius, while in some places, the temperature may drop to 50 to 60 degrees Fahrenheit.",2022-06-06T09:57:11.5,2022,6
MAHARASHTRA,NANDED,KINWAT,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Due to the recent rainfall, the water level of the Kinwat river has increased. Today, the water level has reached the danger mark. The water level of the river at the main bridge in the city has risen to 25 to 35 feet, and the flow of water is very strong. Therefore, the administration has appealed to the citizens not to go near the river. If the rainfall continues, the water level may rise further and the danger level may reach 50 to 60 feet.",2022-06-06T09:57:12.5,2022,6
MAHARASHTRA,OSMANABAD,PARANDA,,AGRICULTURE,Sugar and Starch Crops,Sugarcane (Noble Cane),	Plant Protection	,"Blight attack in sugarcane crop ?   
",Pikateel crop should be protected from diseases by spraying Thiofinet Methyl 70% WDG 13 grams / 13 liters of water (foliar spray).,2022-06-06T10:01:06.433,2022,6
MAHARASHTRA,NANDED,KINWAT,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Climate information for today: Today, partly cloudy weather is expected in most areas. Maximum = around 29°C, minimum 20°C. Humidity = around 83%, minimum 70%. Wind speed will be 11 km/h from the southwest direction.",2022-06-06T10:11:08.007,2022,6
MAHARASHTRA,YEVATMAL,GHATANJI,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Humane warning, due to the increase in temperature, there is a possibility of heatwave in some areas. The maximum temperature may reach up to 44°C and the minimum temperature may be around 31°C.",2022-06-06T10:13:00.747,2022,6
MAHARASHTRA,PARBHANI,SAILU,,AGRICULTURE,Oilseeds,Soybean (bhat),Varieties,"VARIETIES OF SOYABEAN ?
","Soyabean - variety - JS-335, DS 228 (full season), JS.9305, MAUS 71 (medium) full duration, full season",2022-06-06T10:18:12.913,2022,6
MAHARASHTRA,WARDHA,SAMUDRAPUR,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Due to the ongoing monsoon, the weather department has predicted heavy rainfall in some places, and in this context, an orange alert has been issued for some districts. The rainfall is expected to intensify. According to the latest updates, today's minimum temperature is 42 degrees Celsius and the maximum is 32 degrees Celsius. The wind speed will be around 18 kilometers per hour. Due to the monsoon, people are advised to take precautions, stay safe, avoid unnecessary travel, and follow the instructions given by the administration.",2022-06-06T10:22:00.87,2022,6
MAHARASHTRA,BEED,WADWANI,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Humane Vibhagachya Andajanuar Aplya Vadavani Talukyat, ya athavadyamadhe vatavaran ashatra thagal rahil. Aaj pavsachi shakyat ahe.. aajche tapman - kimal - 41 ansh celsius ani kiman - 27 ansh celsius, vatyacha veg - tasik 24 kilometer ahe. Humane Andajanuar perni, khat vyavasthapan, pik samrakshan, sinchan adi babinche niyojan karave.",2022-06-06T10:36:46.33,2022,6
MAHARASHTRA,YEVATMAL,PUSAD,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Havaman Vibhagachya Andajanuasar, Aplya Pusht Talukyatat Yetya Athavadyat Vatavaran Anshtaha Thandal Rahil, Pavsachi Shakyata Nahi. Aajche Tapman Kamal 41 Ansh Celsius Ani Kimal 28 Ansh Celsius, Varyacha Veg - 27 Kilometer/Tas Rahil. Havaman Andajanuasar Perni, Khat Vyavasthapan, Pik Sanrakshan, Sinchan Adi Babinche Niyojan Karave. Dhanyavad!",2022-06-06T10:38:45.417,2022,6
MAHARASHTRA,NANDURBAR,NANDURBAR,,AGRICULTURE,Others,Others,Training and Exposure Visits,"Farmer Asked About Contact Number of  Krishi Vigyan Kendra AHAMADNAGAR ?
","Krishi Vijñan Kendra Ahmednagar, Sampark Kramank - 02422-252414",2022-06-06T10:39:20.673,2022,6
MAHARASHTRA,WARDHA,DEOLI,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Today's weather forecast - There is no possibility of rain anywhere in the state as per the information received from the Meteorological Department. Temperature - Minimum 30°C, Maximum 44°C, wind speed 19 km/h. / Note: (This weather forecast is based on information received from the Meteorological Department, so please take your own decision before planning any important work.)",2022-06-06T10:39:42.31,2022,6
MAHARASHTRA,NANDED,KINWAT,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Humane warning, due to the current weather conditions, there is a possibility of increased heat and heatwave in your area. The maximum temperature may reach around 30°C, and the minimum may be 43°C.",2022-06-06T10:43:34.107,2022,6
MAHARASHTRA,NANDED,KINWAT,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Taluka weather forecast - Here is the detailed weather forecast for your area, tomorrow - minimum temperature - 21°C, maximum - 35°C, wind speed - 12 km/h, tomorrow, along with the weather forecast, information about rainfall, temperature, soil moisture, pest infestation, crop condition, and other important information will also be provided.",2022-06-06T10:50:38.92,2022,6
MAHARASHTRA,AURANGABAD,PAITHAN,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Humane warning, due to the current weather conditions, there is a possibility of heavy rainfall in some parts of the state. The minimum temperature is 24°C, and the maximum is 38°C.",2022-06-06T10:52:49.24,2022,6
MAHARASHTRA,AURANGABAD,VAIJAPUR,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Taluka main hospital statistics - This is the updated information as per the district administration, accuracy is not guaranteed.
Total (including all services) - Total beds - 39, currently occupied - 31.
Number of ventilators (occupied/total) - 14, currently functional.",2022-06-04T16:41:17.52,2022,6
MAHARASHTRA,NANDED,KANDHAR,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Havaman Vibhagachya Mahitinuar Apalya Khandat Talukyatil Havamanacha Andaj Yetya 10 Divsat Vatavaran Thagal Rahil Tyachabar Suryaprakashit Asel, Pavsachi Shakyata Halakya Te Madhyam Svarupachi Vartavleli Aahe. Tapman - Kimmat 33 Ansh Celsius Ani Kamal 40 Ansh Celsius. Varyacha Veg 11 Kimi/Tasi Rahil. Havaman Andajanuar Khat Vyavasthapan, Sinchan Adi Babinche Niyojan Karave. Dhanyavad.",2022-06-04T16:49:01.66,2022,6
MAHARASHTRA,AKOLA,PATUR,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Havaman Andaj - According to the weather department, there is no sign of rain in the next few days. The minimum temperature is 41 degrees Celsius, the maximum temperature is 32 degrees Celsius. The wind speed will be 18 kilometers per hour.",2022-06-04T16:58:41.72,2022,6
MAHARASHTRA,PARBHANI,MANWAT,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Manwat Taluka Weather Information: Today, partly cloudy weather is expected in the region. Maximum = around 30°C, Minimum 20°C. Humidity = around 80%, Minimum 70%. Wind speed will be 11 km/h from the east direction.",2022-06-04T17:00:09.483,2022,6
MAHARASHTRA,HINGOLI,KALAMNURI,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Havaman Andaj - According to the latest information from the weather department, there is no sign of rain in the state. The maximum temperature is 41 degrees Celsius, and the minimum temperature is 34 degrees Celsius. The wind speed will be up to 7 kilometers per hour.",2022-06-05T09:03:46.33,2022,6
MAHARASHTRA,NANDED,HIMAYATNAGAR,,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,"Humane warning, due to the current weather conditions in your area, there is a possibility of heavy rainfall and thunderstorms. The maximum temperature is 25°C, and the minimum is 38°C.",2022-06-05T09:05:50.737,2022,6
